system:index,B11,B12,B2,B3,B4,B8,DEM,LandCover,NDVI,NDVI_StdDev,SOC,VH,VH_ent,VV,VV_contrast,VV_ent,latitude,longitude,.geo
0,0.26745,0.2167,0.0992,0.1718,0.22075,0.2586,79,20,0.07908231,0.03934950144638506,31.7,-17.777782527081325,3.305760236289443,-11.52076450890716,30304.148958333335,3.305760236289443,10.70005792796865,79.00121476778617,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.33425,0.25965,0.0682,0.1126,0.1521,0.2668,77,20,0.27800506,0.06969350187201495,31.3,-19.245956465812327,3.5186982889735896,-12.968414180103746,25757.626388888893,3.5186982889735896,10.70005792796865,79.00346055599647,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.31065,0.2296,0.0589,0.09595,0.1201,0.2587,76,20,0.365145,0.08646427065742499,32.6,-17.364947957876307,3.6939771265258705,-11.96506873634206,22843.495535714283,3.6939771265258705,10.70005792796865,79.00570634420677,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.30995,0.2266,0.04995,0.08455,0.1122,0.26515,77,20,0.40072107,0.10247913684378075,32.6,-17.9371521923208,3.6939771265258705,-12.145434024781967,13035.563988095237,3.6939771265258705,10.70005792796865,79.00795213241707,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.31135,0.2191,0.0544,0.08865,0.10635,0.2856,78,40,0.4466082,0.12350000190763331,34.0,-17.46193904306336,3.6939771265258705,-11.732691045500882,12875.378968253966,3.6939771265258705,10.70005792796865,79.01244370883767,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.24415,0.16545,0.0587,0.09085,0.10865,0.23605,77,40,0.3555441,0.08625674851082586,33.7,-16.21182836306062,3.6939771265258705,-10.04082060930637,11401.534226190475,3.6939771265258705,10.70005792796865,79.01468949704797,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.25635,0.1597,0.0454,0.07475,0.08205,0.26535,76,20,0.5085152,0.13589293358026722,32.4,-16.358506519430602,3.6939771265258705,-10.68028511774876,12155.555555555555,3.6939771265258705,10.70005792796865,79.01693528525827,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.26365,0.16825,0.0384,0.07495,0.0816,0.3134,75,20,0.5814469,0.15676916342446928,33.3,-15.521667861538656,3.6939771265258705,-9.017862575433146,11706.663690476187,3.6939771265258705,10.70005792796865,79.01918107346856,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.3005,0.2186,0.0531,0.0955,0.1157,0.2818,70,40,0.41430947,0.15175651218892652,31.2,-16.475609456484623,3.6939771265258705,-9.885853044068755,17294.224702380954,3.6939771265258705,10.70005792796865,79.02367264988916,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.3239,0.23445,0.05855,0.1043,0.1339,0.27135,69,80,0.34248164,0.11745975009641094,31.8,-16.939022513290055,3.6939771265258705,-10.574659904881695,16894.767857142855,3.6939771265258705,10.70005792796865,79.02591843809945,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.3166,0.213,0.0591,0.0993,0.1057,0.3071,71,40,0.47044334,0.1520124633119569,31.8,-17.085904538970922,3.6939771265258705,-10.856840759706728,18927.484623015873,3.6939771265258705,10.70005792796865,79.02816422630976,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.3145,0.21,0.0629,0.0997,0.1079,0.3079,71,20,0.48196417,0.1664824392527288,31.0,-16.082932141724065,3.6939771265258705,-10.693636755235833,18026.010416666664,3.6939771265258705,10.70005792796865,79.03041001452006,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.28935,0.18075,0.0512,0.08815,0.08865,0.2889,72,20,0.49940503,0.14823160651291606,31.7,-15.44575291000286,3.6939771265258705,-10.351919730179873,17295.509424603177,3.6939771265258705,10.70005792796865,79.03265580273036,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.3141,0.1971,0.0541,0.0994,0.1046,0.3145,70,20,0.5004771,0.1632085482962957,33.6,-16.27232720430858,3.6939771265258705,-10.735145524932387,14857.950396825394,3.6939771265258705,10.70005792796865,79.03490159094065,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.329,0.2231,0.0581,0.1022,0.1067,0.3493,73,40,0.46424872,0.17763426274992622,33.4,-17.13872277755452,3.6939771265258705,-9.961464017643868,12221.970734126986,3.6939771265258705,10.70005792796865,79.03939316736125,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.3539,0.2648,0.075,0.1157,0.1414,0.3546,74,20,0.4054697,0.1444473036299475,32.4,-17.827621999276897,3.6939771265258705,-10.715216928935826,8763.186011904761,3.6939771265258705,10.70005792796865,79.04163895557156,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.2871,0.1883,0.0518,0.0858,0.0909,0.348,76,10,0.58578265,0.18238678418572546,33.2,-15.479262388854478,3.6939771265258705,-8.238444212349847,10832.943452380954,3.6939771265258705,10.70005792796865,79.04388474378185,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3606,0.2491,0.0569,0.1026,0.1343,0.294,81,20,0.35872605,0.1242764749712151,31.9,-16.26432941637495,3.6939771265258705,-10.264611618660958,13954.710813492065,3.6437789676162713,10.70005792796865,79.05062210841274,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.376,0.2556,0.0672,0.1157,0.1545,0.2804,85,20,0.3022942,0.10547834968394063,31.5,-17.629235230617077,3.6939771265258705,-11.174241454018738,11605.84027777778,3.6437789676162713,10.70005792796865,79.05286789662304,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.3677,0.2475,0.0608,0.1061,0.1458,0.2629,87,20,0.27258882,0.09007222859729394,31.4,-17.77892177241077,3.6939771265258705,-11.648110559945376,12093.796130952382,3.6437789676162713,10.70005792796865,79.05511368483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.3975,0.2552,0.0651,0.1138,0.176,0.2635,91,20,0.18320611,0.05254644712181842,34.4,-17.83920794026852,3.6939771265258705,-11.174150441034792,12455.652777777776,3.6437789676162713,10.70005792796865,79.05735947304365,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.3483,0.2256,0.0676,0.1099,0.1492,0.306,93,40,0.28999233,0.11436044666850091,35.0,-16.608898668424025,3.6939771265258705,-10.429405806456831,11393.0808531746,3.6437789676162713,10.70005792796865,79.05960526125394,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.4909,0.2549,0.1401,0.2355,0.3157,0.371,93,60,0.089657284,0.03329694801538408,32.5,-18.70973412513588,3.6939771265258705,-10.475649918465855,9029.531746031746,3.6702533390959915,10.70005792796865,79.06185104946424,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.3698,0.2271,0.0986,0.1532,0.2102,0.2708,92,20,0.1297518,0.024048648418939583,33.5,-17.686188594073005,3.6939771265258705,-11.381211769518835,8562.811011904763,3.6702533390959915,10.70005792796865,79.06409683767454,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.2321,0.1609,0.0504,0.0747,0.0892,0.2039,93,20,0.38120013,0.11424284089681075,32.8,-17.255453080875004,3.6939771265258705,-10.803060875223458,8765.298611111113,3.6867568433950377,10.70005792796865,79.06634262588484,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.2337,0.1501,0.0513,0.08,0.0848,0.2992,89,40,0.54966885,0.20086758267090576,32.9,-16.27272468625032,3.6939771265258705,-9.377159240465144,7749.624503968254,3.6867568433950377,10.70005792796865,79.07083420230543,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.2635,0.1744,0.0609,0.0989,0.1056,0.3152,85,40,0.46491006,0.21890480572494486,35.1,-15.848018514687865,3.6939771265258705,-9.044086386427082,8034.427083333334,3.6939771265258705,10.70005792796865,79.07532577872604,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.2464,0.1832,0.0786,0.1108,0.1136,0.294,84,40,0.37601253,0.1348705502644878,34.1,-16.073504210640884,3.6939771265258705,-9.28908923245898,10619.326388888889,3.6939771265258705,10.70005792796865,79.07757156693633,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.2941,0.207,0.0671,0.1069,0.1165,0.3037,85,10,0.44258374,0.15079813648088378,33.4,-16.443551975023468,3.6939771265258705,-10.100144843581193,14270.850198412694,3.6939771265258705,10.70005792796865,79.07981735514663,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.31,0.2305,0.0836,0.1189,0.1378,0.3158,85,50,0.36589658,0.1319494266378617,34.7,-16.022488903573983,3.6939771265258705,-7.481035780279171,15566.822916666662,3.6939771265258705,10.70005792796865,79.08206314335693,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.3116,0.2305,0.0738,0.1146,0.1306,0.3063,80,40,0.3722663,0.1360393757835299,33.7,-16.850692552347425,3.6939771265258705,-9.676668357901562,19082.432539682537,3.6939771265258705,10.70005792796865,79.08430893156722,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.2752,0.2021,0.0707,0.1091,0.1129,0.3128,79,40,0.4437453,0.16511762541359343,33.2,-16.58962511517843,3.6939771265258705,-10.158728973551373,21506.731150793647,3.6939771265258705,10.70005792796865,79.08655471977752,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.2727,0.2134,0.0701,0.1051,0.1143,0.2827,78,40,0.41244662,0.15244703899116324,33.2,-16.179712952380267,3.6867568433950377,-9.40673062523813,19163.04513888889,3.6939771265258705,10.70005792796865,79.08880050798783,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.3116,0.2192,0.0696,0.1086,0.121,0.3083,76,40,0.4091112,0.11323418235002777,32.4,-17.18881849347954,3.6867568433950377,-10.620148980073749,17772.342261904763,3.6939771265258705,10.70005792796865,79.09104629619813,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.288,0.1993,0.0702,0.1079,0.1185,0.3341,75,40,0.45788077,0.15463639922982175,32.8,-16.034623258876593,3.6867568433950377,-9.248157704305495,14425.300595238099,3.6939771265258705,10.70005792796865,79.09329208440842,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.3324,0.2408,0.0866,0.133,0.154,0.3297,76,40,0.34701082,0.12140835256671395,31.4,-17.803958101515278,3.6939771265258705,-10.164077259900221,11443.223710317461,3.6712848081146814,10.70005792796865,79.10452102545992,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.2796,0.1843,0.0633,0.1064,0.1084,0.3634,73,20,0.51638657,0.16920552116315907,31.9,-15.838175991964883,3.6867568433950377,-9.227399353038543,10967.789682539682,3.671284808114682,10.70005792796865,79.10676681367022,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.2497,0.1539,0.0739,0.115,0.1099,0.3056,66,10,0.4636194,0.15688382272978327,33.7,-15.662015877582665,3.6867568433950377,-9.068613992493969,7083.631448412697,3.685725374376347,10.70005792796865,79.11125839009081,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.337,0.2615,0.0867,0.1238,0.1439,0.33,65,20,0.36928105,0.16767138124511063,33.7,-16.234328350955874,3.6675027550461503,-10.150456634097214,5480.14136904762,3.6857253743763474,10.70005792796865,79.11350417830111,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.3078,0.2113,0.0729,0.1098,0.108,0.3296,64,20,0.46547884,0.21170802704942737,32.1,-16.806894317227446,3.6675027550461503,-10.530088631277941,7665.246031746032,3.685725374376347,10.70005792796865,79.11574996651142,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.306,0.2003,0.0584,0.0957,0.091,0.3278,65,20,0.52355605,0.19241541129290407,31.0,-16.192593301346594,3.6675027550461503,-10.139623557367184,7567.072420634919,3.6857253743763474,10.70005792796865,79.1179957547217,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.2505,0.1555,0.0579,0.0899,0.0848,0.3063,64,10,0.51694673,0.18208835860019643,33.1,-16.644326271024443,3.674723038176983,-10.005540297536673,8838.020337301585,3.6939771265258705,10.70005792796865,79.12248733114231,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.3288,0.2221,0.0743,0.1153,0.1274,0.3212,63,40,0.41973203,0.14746671054842958,32.8,-16.350655395314682,3.6939771265258705,-9.998465034989067,8647.375992063491,3.6939771265258705,10.70005792796865,79.12473311935261,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.3109,0.2233,0.0615,0.1024,0.1128,0.36,66,40,0.4967335,0.1802334003591333,31.8,-16.15768823292189,3.6939771265258705,-9.559698206621132,7717.270833333332,3.6939771265258705,10.70005792796865,79.1269789075629,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.2751,0.1835,0.0513,0.0877,0.0935,0.3386,69,40,0.5529524,0.14804242261915682,33.7,-15.517205807535717,3.6939771265258705,-8.786857561964808,8152.892857142856,3.6939771265258705,10.70005792796865,79.1292246957732,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.2639,0.1733,0.0473,0.0831,0.0822,0.3394,70,10,0.59772295,0.15482027287226316,33.7,-14.737785366679502,3.679536560264205,-8.315784168649163,9618.236111111111,3.6939771265258705,10.70005792796865,79.1314704839835,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.2677,0.1792,0.0448,0.0847,0.0881,0.3206,67,40,0.53704536,0.12949299915844154,35.5,-17.41254301393667,3.679536560264205,-10.322364676502131,37436.67261904761,3.6939771265258705,10.70005792796865,79.1382078486144,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.3429,0.2722,0.0738,0.1133,0.1807,0.2649,67,10,0.18539824,0.06948799431353396,32.4,-17.05400753757869,3.679536560264205,-10.511371239018839,39465.31597222222,3.6939771265258705,10.70005792796865,79.1404536368247,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.2722,0.1696,0.0401,0.076,0.0783,0.3205,66,20,0.5937178,0.1979849059202788,33.4,-14.93594257288088,3.6939771265258705,-8.463031244448622,37606.675099206346,3.6939771265258705,10.70005792796865,79.14269942503499,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.2502,0.1673,0.0517,0.0887,0.0982,0.3321,65,40,0.52040213,0.18514916582782986,34.0,-15.25007827312348,3.679536560264205,-8.76532996410522,35171.607638888876,3.6939771265258705,10.70005792796865,79.1449452132453,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.2602,0.1915,0.0553,0.0963,0.1256,0.305,62,40,0.40125155,0.1386689551390959,35.3,-16.83398531635575,3.679536560264205,-10.009129290359155,25636.7748015873,3.679536560264205,10.70005792796865,79.1494367896659,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.3001,0.2262,0.0608,0.1068,0.1296,0.3237,60,20,0.44030106,0.13910301730770894,34.2,-16.257984682212232,3.679536560264205,-9.845022624510143,5694.386408730159,3.679536560264205,10.70005792796865,79.15392836608649,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.2916,0.2118,0.0559,0.1093,0.12,0.3275,58,20,0.4609929,0.16417477982972944,34.4,-14.810742882025032,3.6939771265258705,-8.810753900111244,7331.191964285716,3.679536560264205,10.70005792796865,79.15617415429679,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.2712,0.1947,0.0671,0.1043,0.1109,0.3014,56,20,0.40966094,0.14190262589804306,32.8,-15.431970510377052,3.6939771265258705,-9.190350896393017,12143.073412698413,3.679536560264205,10.70005792796865,79.1584199425071,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.184,0.1126,0.0511,0.0831,0.0779,0.2455,54,40,0.5078964,0.1547363332645632,34.3,-16.682237306388245,3.6939771265258705,-10.144060115531417,14408.919642857143,3.6939771265258705,10.70005792796865,79.16066573071738,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.2221,0.1502,0.0677,0.0993,0.0928,0.3024,55,40,0.5,0.1568500207806081,32.5,-17.43299679392119,3.6939771265258705,-10.103715616712766,54772.54960317459,3.6939771265258705,10.70005792796865,79.16291151892769,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.2735,0.1696,0.043,0.0827,0.0876,0.3346,57,10,0.5571284,0.17582624675508085,32.3,-15.230101063561387,3.6939771265258705,-8.62407124181643,72666.73015873013,3.6939771265258705,10.70005792796865,79.16740309534828,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.2995,0.2154,0.0616,0.1021,0.111,0.3337,57,10,0.49472377,0.16761272691743956,33.3,-16.658720646083705,3.6939771265258705,-9.369954822651621,70973.50446428568,3.6939771265258705,10.70005792796865,79.16964888355858,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.2258,0.14525,0.05475,0.08715,0.0923,0.39035,56,40,0.488045,0.24698133307160675,33.3,-15.902680384411955,3.6939771265258705,-9.354200150283024,70051.73660714283,3.6939771265258705,10.70005792796865,79.17189467176888,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.2925,0.2075,0.0529,0.08685,0.10645,0.3442,52,10,0.51018107,0.12611415333214115,31.2,-15.29047290858399,3.6939771265258705,-8.724523477574397,40472.6765873016,3.6867568433950377,10.70005792796865,79.17638624818947,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.2818,0.1939,0.0721,0.106,0.1139,0.3157,52,10,0.43471992,0.1404452322698901,30.7,-15.82866671996511,3.6939771265258705,-9.151324129178445,14075.40674603175,3.6867568433950377,10.70005792796865,79.17863203639978,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.217,0.1431,0.0621,0.10145,0.09545,0.3123,47,40,0.5081184,0.1732664617586166,32.0,-16.010948882782316,3.6857253743763474,-9.8669945240138,16509.81150793651,3.6867568433950377,10.70005792796865,79.18312361282038,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.1911,0.1116,0.07385,0.1161,0.10375,0.32985,46,40,0.46271014,0.2113212801859207,33.5,-16.571170530659323,3.6857253743763474,-10.032738355916557,15534.310515873018,3.6867568433950377,10.70005792796865,79.18536940103067,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.2178,0.12015,0.0533,0.08985,0.0732,0.32325,46,10,0.6109556,0.16221163836208935,31.9,-16.436804509764734,3.6857253743763474,-9.902512052478746,10854.093253968256,3.6867568433950377,10.70005792796865,79.18761518924097,"{""type"":""MultiPoint"",""coordinates"":[]}"
